,T72,Unify Execution Terminology,T72.1,"In `ferri-core/src/flow.rs`, rename the `Pipeline` struct to `Flow`.",Pending
,T72,Unify Execution Terminology,T72.2,"In `ferri-core/src/flow.rs`, rename the `Step` struct to `Job`.",Pending
,T72,Unify Execution Terminology,T72.3,"In `ferri-core/src/flow.rs`, rename the `steps` field in the `Flow` struct to `jobs`.",Pending
,T72,Unify Execution Terminology,T72.4,"Update `serde` field attributes to expect `jobs` in the YAML file instead of `steps`.",Pending
,T72,Unify Execution Terminology,T72.5,"Refactor all function names and variables in the `flow` module to use ""job"" instead of ""step"" (e.g., `run_pipeline` -> `run_flow`).",Pending
,T72,Unify Execution Terminology,T72.6,"Update `pm/gemini_code_review.yml` and any other flow files to use the new `jobs` syntax.",Pending
,T72,Unify Execution Terminology,T72.7,"Update `qa/gemini_code_review_walkthrough.md` to reflect the new `jobs` syntax.",Pending
,T72,Unify Execution Terminology,T72.8,"Globally search the codebase for any remaining user-facing instances of ""step"" and replace with ""job"" for consistency.",Pending
,T73,Implement Flow Dependencies,T73.1,"In `ferri-core/src/flow.rs`, add an optional `dependencies: Vec<String>` field to the `Job` struct.",Pending
,T73,Implement Flow Dependencies,T73.2,"In the `run_flow` function, implement a dependency resolution algorithm (e.g., topological sort) to determine the correct execution order.",Pending
,T73,Implement Flow Dependencies,T73.3,"The dependency resolution logic must be able to handle parallel execution for jobs that have no dependencies on each other.",Pending
,T73,Implement Flow Dependencies,T73.4,"In the `run_flow` function, add robust error handling for missing or circular dependencies.",Pending
,T73,Implement Flow Dependencies,T73.5,"Create a new `pm/dependency_test_flow.yml` file with a non-linear job structure to serve as a test case.",Pending
,T73,Implement Flow Dependencies,T73.6,"In `ferri-cli/tests/flow.rs`, add a new integration test that runs the `dependency_test_flow.yml` and verifies jobs run in the correct order.",Pending
,T74,Comprehensive Documentation Overhaul,T74.1,"Audit every command and flag in `README.md` against the current implementation in `ferri-cli/src/main.rs`.",Pending
,T74,Comprehensive Documentation Overhaul,T74.2,"Rewrite the `ferri flow` section in `README.md` to accurately describe the new `jobs` and `dependencies` syntax.",Pending
,T74,Comprehensive Documentation Overhaul,T74.3,"Add a clear, complex example of a flow with dependencies in `README.md`.",Pending
,T74,Comprehensive Documentation Overhaul,T74.4,"Create a new `CONTRIBUTING.md` file outlining the project structure, development workflow, and coding conventions.",Pending
,T74,Comprehensive Documentation Overhaul,T74.5,"Review and update `COMMAND_MODIFIERS.md` to ensure all listed modifiers are implemented and correctly described.",Pending
,T74,Comprehensive Documentation Overhaul,T74.6,"Add a ""Project Status"" section to the `README.md` that explicitly states the tool is in active development and documentation may lag.",Pending
